Molecule,SMILES,Global Sum: Rot Bonds,C Count,F Count,O Count,H Count,Global Sum: bo 1.0,Local Sum: bo 1.0 C-F,Local Sum: bo 1.0 H-O,Global Sum: bo 2.0,Local Sum: bo 2.0 C-O,Local Sum: bo 1.0 C-C,Local Sum: bo 1.0 C-H,Local Sum: bo 2.0 C-C,Local Sum: F-C-C-C Torsional Axes,Local Sum: F-C-C-H Torsional Axes,Local Sum: C-C-C-C Torsional Axes,Local Sum: C-C-C-H Torsional Axes,Local Sum: F-C-C-F Torsional Axes,Local Sum: C-C-C-F Torsional Axes,Local Sum: *H-C-C-C Torsional Axes,Local Sum: *F-C-C-C Torsional Axes,Global Sum: Torsional Axes,Local Sum: bo 2.0 O-O,Local Sum: bo 1.0 C-O,Local Sum: C-C-C-O Torsional Axes,Local Sum: F-C-C-O Torsional Axes,Local Sum: C-C-O-H Torsional Axes,Local Sum: O-C-O-H Torsional Axes,Local Sum: C-C-O-C Torsional Axes,Local Sum: F-C-O-C Torsional Axes,Local Sum: C-O-C-C Torsional Axes,Local Sum: C-O-C-F Torsional Axes,Local Sum: O-C-C-O Torsional Axes,Local Sum: O-C-C-F Torsional Axes,Local Sum: H-C-C-C Torsional Axes,Local Sum: H-C-C-H Torsional Axes,Local Sum: H-C-C-O Torsional Axes,Local Sum: H-C-O-H Torsional Axes,Local Sum: O-C-O-C Torsional Axes,Local Sum: F-C-O-H Torsional Axes,Local Sum: bo 1.0 O-O,Local Sum: C-C-O-O Torsional Axes,Local Sum: F-C-O-O Torsional Axes,Local Sum: H-C-C-F Torsional Axes,Local Sum: bo 1.0 F-H,Local Sum: O-C-C-H Torsional Axes,Local Sum: C-O-C-O Torsional Axes,Local Sum: O-C-C-C Torsional Axes,Local Sum: H-O-C-F Torsional Axes,Local Sum: H-O-C-C Torsional Axes,Local Sum: H-O-C-O Torsional Axes,Local Sum: C-O-C-H Torsional Axes,a0,a1,a2,a3,a4,H_f_0K,S_300K 
frd_903_0HFAts_prod_minusHF,O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3,6,10,3,0,18,10,0,1,1,4,0,0,3,0,0,0,10,5,0,8,33,0,4,1,2,0,0,1,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.2867,0.23195,-0.00022741,0.000000103,-1.77E-11,0,138.47
1_octane_c8_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,8,17,0,0,24,17,0,0,0,7,0,0,10,0,5,0,30,15,0,25,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.505,0.30662,-0.00030447,0.000000139,-2.4E-11,-800.34,166.66
pfooh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,8,17,1,1,26,17,1,0,0,7,0,0,10,0,5,0,30,15,0,25,66,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14.773,0.33121,-0.00032852,0.00000015062,-2.6011E-11,0,168.24
pfeoh,OC(F)(F)C(F)(F)F,1,2,5,1,1,8,5,1,0,0,1,0,0,0,0,0,0,6,0,0,0,12,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.6897,0.10029,-0.00009858,0.000000045231,-7.8324E-12,0,84.567
52rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,7,11,0,5,22,11,0,0,0,6,5,0,11,4,4,5,18,6,5,17,54,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1028,0.24061,-0.00021253,0.000000090373,-1.4822E-11,0,135.87
1H_hexane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,6,13,0,1,19,13,0,0,0,5,1,0,9,2,3,1,22,8,1,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.97,0.23395,-0.00022503,0.0000001008,-1.7106E-11,0,136.86
62rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,8,13,0,5,25,13,0,0,0,7,5,0,13,4,5,5,22,8,5,21,63,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.821,0.279,-0.00025075,0.00000010789,-1.7842E-11,0,149.64
22ftoh,OCCC(F)(F)C(F)(F)F,3,4,5,1,5,14,5,1,0,0,3,4,0,5,4,1,4,6,0,4,5,30,0,1,1,0,1,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3206,0.13602,-0.00010839,0.000000042523,-6.5343E-12,0,100.02
ch3,[CH3],0,1,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1829,0.0071344,0.000000956,-0.00000000168,3.51E-13,35.82,50.1
cfoh3,OC(O)(O)F,3,1,1,3,3,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.079268,-0.0000759,0.0000000352,-6.19E-12,-207.12,71.934
cooh2,O=C(O)O,0,1,0,3,2,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5339,0.053254,-0.0000467,0.0000000202,-3.39E-12,-145.57,64.209
1_butane,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,2,4,7,2,1,12,7,1,1,1,3,0,0,5,0,1,0,10,2,0,7,26,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4932,0.15978,-0.00015489,0.0000000702,-1.2E-11,-430.68,110.04
1H_propane,FC(F)C(F)(F)C(F)(F)F,1,3,7,0,1,10,7,0,0,0,2,1,0,3,2,0,1,10,2,1,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0.11846,-0.00010999,0.00000004806,-8.0068E-12,0,95.578
n_octane_twisted,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,8,18,0,0,25,18,0,0,0,7,0,0,13,0,5,0,32,13,0,26,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.412,0.32398,-0.00032223,0.000000148,-2.54E-11,-909.28,166.526512
c4f9oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,4,9,1,1,14,9,1,0,0,3,0,0,4,0,1,0,14,5,0,9,30,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,8.3241,0.17634,-0.00017406,0.0000000797,-1.38E-11,-510.19,113.68
cf2o_2h2oprod,O.OC(O)(F)F,2,1,2,3,4,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8.1811,0.088948,-0.0000859,0.0000000405,-7.26E-12,-295.56,88.046
32ftoh,OCCC(F)(F)C(F)(F)C(F)(F)F,4,5,7,1,5,17,7,1,0,0,4,4,0,4,4,2,4,10,5,4,9,39,0,1,1,0,1,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1538,0.17364,-0.00014538,0.000000059317,-9.4119E-12,0,118.37
cf3o,[O]C(F)(F)F,0,1,3,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3106,0.054168,-0.0000543,0.000000025,-4.31E-12,-101.42,69.645
butene_OH,OC(F)(F)[C](F)C(F)(F)C(F)(F)F,3,4,8,1,1,13,8,1,0,0,3,0,0,3,0,1,0,10,5,0,8,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,8.959,0.16092,-0.00015895,0.0000000729,-1.26E-11,-419.97,44.901
cf2h,F[CH]F,0,1,2,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4063,0.023832,-0.0000161,0.00000000507,-5.88E-13,-180.46,61.224
f,[F],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9682,0,0,0,0,18.47,36.176
pfhpa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,7,13,2,1,21,13,1,1,1,6,0,0,8,0,4,0,22,11,0,19,53,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.704,0.27473,-0.00026927,0.00000012256,-2.1063E-11,0,151.73
hexane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,6,13,0,1,19,13,0,0,0,5,1,0,6,2,3,1,22,11,1,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0.23396,-0.00022504,0.000000101,-1.71E-11,-654.01,136.85
1H_decane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,10,21,0,1,31,21,0,0,0,9,1,0,14,2,7,1,38,19,1,33,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.974,0.38707,-0.00037737,0.00000017058,-2.9135E-11,0,193.25
71_octene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,8,14,0,2,22,14,0,1,0,6,2,1,10,0,5,0,24,12,0,22,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.221,0.28505,-0.00027604,0.00000012486,-2.1385E-11,0,152.36
cbutane,FC1(F)C(F)(F)C(F)(F)C1(F)F,0,4,8,0,0,12,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2333,0.14106,-0.00013679,0.0000000614,-1.04E-11,-370.51,96.448287
heptane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,7,16,0,0,22,16,0,0,0,6,0,0,11,0,4,0,28,11,0,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.078,0.28431,-0.00028241,0.000000129,-2.22E-11,-811.67,153.808976
hexane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,6,14,0,0,19,14,0,0,0,5,0,0,9,0,3,0,24,9,0,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,0.24597,-0.00024426,0.00000011171,-1.9232E-11,-713.26,139.81
32rh,CCC(F)(F)C(F)(F)C(F)(F)F,3,5,7,0,5,16,7,0,0,0,4,5,0,7,4,2,5,10,2,5,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7499,0.1636,-0.00013583,0.00000005521,-8.7559E-12,0,108.8
cfho,O=CF,0,1,1,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9136,0.018727,-0.00000894,0.00000000126,1.18E-13,-199.45,58.965
c2f3_o,O=C(F)[C](F)F,1,2,3,1,0,4,3,0,1,1,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1063,0.052812,-0.0000491,0.0000000215,-3.61E-12,-146.25,76.899
43_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,7,9,2,5,21,9,1,1,1,6,4,0,6,4,4,4,14,7,6,13,53,0,1,2,0,1,1,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2844,0.24349,-0.00021528,0.00000009162,-1.5028E-11,0,140.15
ch2F,[CH2]F,0,1,1,0,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0.01476,-0.0000065,0.00000000108,2.83E-15,-134.46,56.413
1H_pentane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,5,11,0,1,16,11,0,0,0,4,1,0,7,2,2,1,18,6,1,13,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3716,0.19518,-0.00018634,0.000000083041,-1.4038E-11,0,123.17
c3f7oh,OC(F)(F)C(F)(F)C(F)(F)F,2,3,7,1,1,11,7,1,0,0,2,0,0,3,0,0,0,10,2,0,5,21,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6.8733,0.13708,-0.0001347,0.0000000616,-1.06E-11,-412.21,101.53
propene,FC(F)=C(F)C(F)(F)F,0,3,6,0,0,7,6,0,1,0,1,0,1,0,0,0,0,3,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3689,0.09903,-0.0000965,0.0000000437,-7.48E-12,-264.42,89.765305
butane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)F,2,4,9,0,1,13,9,0,0,0,3,1,0,5,2,1,1,14,4,1,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3881,0.1577,-0.00014927,0.0000000661,-1.11E-11,-458.61,108.51
cfoh_cis,O[C]F,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9553,0.027276,-0.0000221,0.00000000877,-1.35E-12,-159.77,59.289
1_hexane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,6,11,2,1,18,11,1,1,1,5,0,0,6,0,3,0,18,9,0,15,44,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.971,0.23643,-0.00023117,0.000000105,-1.81E-11,-627.8,137.71
32_pentene,C=CC(F)(F)C(F)(F)C(F)(F)F,2,5,7,0,3,13,7,0,1,0,3,3,1,4,2,2,1,10,5,1,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0985,0.1614,-0.00014732,0.000000064332,-1.0771E-11,0,105.83
butene_2OH,O[C@](F)([C](F)F)C(F)(F)C(F)(F)F,3,4,8,1,1,13,8,1,0,0,3,0,0,4,0,1,0,10,4,0,8,27,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.3784,0.16198,-0.00015979,0.0000000732,-1.27E-11,-414.97,44.591
c2f5,F[C](F)C(F)(F)F,0,2,5,0,0,6,5,0,0,0,1,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8156,0.073558,-0.0000711,0.0000000318,-5.36E-12,-213,81.437321
e1_minusH,F[C](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3,5,11,1,0,16,11,0,0,0,3,0,0,3,0,0,0,13,2,0,5,29,0,2,1,2,0,0,1,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.656,0.20642,-0.00020377,0.0000000927,-1.59E-11,0,134.41
c3f6o2_ring,FC(F)(F)[C@@]1(F)OOC1(F)F,0,3,6,2,0,11,6,0,0,0,2,0,0,0,0,0,0,3,3,0,3,9,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.2387,0.13347,-0.00013031,0.0000000587,-9.98E-12,0,95.386
53_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,8,11,2,5,24,11,1,1,1,7,4,0,8,4,5,4,18,9,6,17,62,0,1,2,0,1,1,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.896,0.28228,-0.00025402,0.00000010942,-1.8104E-11,0,153.89
c3f7,F[C](F)C(F)(F)C(F)(F)F,1,3,7,0,0,9,7,0,0,0,2,0,0,3,0,0,0,10,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0521,0.11421,-0.00011277,5.1348,-8.8107E-12,-312.05,96.762
butene,FC(F)=C(F)C(F)(F)C(F)(F)F,1,4,8,0,0,10,8,0,1,0,2,0,1,1,0,1,0,8,5,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2447,0.13653,-0.00013345,0.0000000605,-1.04E-11,-371.81,104.398839
c8_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,8,17,0,0,24,17,0,0,0,7,0,0,10,0,5,0,27,15,0,25,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.714,0.30607,-0.00030385,0.000000139,-2.39E-11,-917.28,170.93
42ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,6,9,1,5,20,9,1,0,0,5,4,0,6,4,3,4,14,7,4,13,48,0,1,1,0,1,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7226,0.21248,-0.00018413,0.000000077108,-1.2484E-11,0,128.55
pfbal,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,2,4,8,1,0,11,8,0,1,1,3,0,0,5,0,1,0,12,3,0,8,24,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7828,0.1493,-0.00014605,0.0000000662,-1.13E-11,-427.98,109.8
co,[C]=O,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1988,-0.0022294,0.00000564,-0.00000000346,6.85E-13,-27.2,47.228
cf4,FC(F)(F)F,0,1,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1845,0.056239,-0.0000559,0.0000000255,-4.39E-12,-221.71,62.561
cf2o,O=C(F)F,0,1,2,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5356,0.033932,-0.0000307,0.0000000132,-2.16E-12,-144.2,61.794995
pfboh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,4,9,1,1,14,9,1,0,0,3,0,0,5,0,1,0,14,4,0,9,30,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8.2726,0.1764,-0.00017407,0.000000079713,-1.3763E-11,0,113.59
cf3oh,OC(F)(F)F,0,1,3,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2.5913,0.063256,-0.0000619,0.0000000285,-4.94E-12,-211.99,69.302
c5_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,2,5,11,0,0,15,11,0,0,0,4,0,0,4,0,2,0,15,9,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.623,0.19066,-0.00018888,0.0000000862,-1.48E-11,-515.44,129.45
62_octene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,8,13,0,3,22,13,0,1,0,6,3,1,10,2,5,1,22,11,1,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.416,0.27604,-0.00026132,0.00000011652,-1.9764E-11,0,147.99
1H_undecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9,11,23,0,1,34,23,0,0,0,10,1,0,16,2,8,1,42,21,1,37,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.677,0.42541,-0.00041548,0.00000018802,-3.214E-11,0,206.63
33_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,4,6,7,2,5,18,7,1,1,1,5,4,0,4,4,3,4,10,5,6,9,44,0,1,2,0,1,1,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6588,0.20479,-0.00017668,0.000000073899,-1.1968E-11,0,127.08
cf2o_oh,[O]C(O)(F)F,1,1,2,2,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2.885,0.063918,-0.0000636,0.0000000296,-5.18E-12,0,70.725
tfcof,O=C(F)C(F)(F)F,0,2,4,1,0,5,4,0,1,1,1,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1967,0.073193,-0.000070524,0.00000003168,-5.3945E-12,0,79.91
lactone,O=C1OC1(F)F,0,2,2,2,0,5,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2354,0.064148,-0.0000622,0.0000000282,-4.84E-12,-139.22,71.645
co2h,O=[C]O,1,1,0,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1135,0.022545,-0.000017,0.00000000653,-9.96E-13,-45.14,60.148
c3f6o,FC(F)(F)[C@@]1(F)OC1(F)F,0,3,6,1,0,10,6,0,0,0,2,0,0,0,0,0,0,3,3,0,3,9,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2664,0.11981,-0.00011762,0.0000000533,-9.12E-12,-337.64,91.474
oh,[OH],0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.075,-0.00071119,0.00000095,-2.55E-11,-7.49E-14,8.91,42.602
cf3,F[C](F)F,0,1,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5673,0.037178,-0.0000356,0.0000000157,-2.64E-12,-111.17,65.368433
pfproh,OC(F)(F)C(F)(F)C(F)(F)F,2,3,7,1,1,11,7,1,0,0,2,0,0,3,0,0,0,10,2,0,5,21,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7.862,0.1377,-0.0001379,0.000000064023,-1.118E-11,0,101.57
pfhxcof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,6,12,1,0,17,12,0,1,1,5,0,0,6,0,3,0,20,10,0,16,42,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.286,0.22581,-0.00022214,0.00000010105,-1.7343E-11,0,137.55
epoxide,FC1(F)OC1(F)F,0,2,4,1,0,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7566,0.081434,-0.0000799,0.0000000363,-6.21E-12,-230.5,76.054
c6_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,6,13,0,0,18,13,0,0,0,5,0,0,6,0,3,0,22,11,0,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.833,0.21805,-0.00021118,0.0000000944,-1.59E-11,-605.04,138.77868
2_pentene,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F,1,5,10,0,0,13,10,0,1,0,3,0,1,2,0,1,0,11,7,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1206,0.17742,-0.00017433,0.0000000792,-1.36E-11,-478.17,119.98
cf2_h2o_ts_react,F[C]F.O,0,1,2,1,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.805,0.024927,-0.0000207,0.00000000906,-1.56E-12,-104.47,81.788
frd_903_carbF_OH,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,6,12,3,1,21,12,1,0,0,4,0,0,3,0,0,0,14,6,0,9,45,0,4,3,4,1,1,1,2,2,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.034,0.27026,-0.00026829,0.000000123,-2.13E-11,0,148.82
