Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-O Torsions,C-C-O-C Torsions,C-C-O-H Torsions,C-C-O-O Torsions,C-O-C-C Torsions,C-O-C-F Torsions,C-O-C-H Torsions,C-O-C-O Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-O Torsions,F-C-O-C Torsions,F-C-O-H Torsions,F-C-O-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-O-C Torsions,H-C-O-H Torsions,H-O-C-C Torsions,H-O-C-F Torsions,H-O-C-O Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-H Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-C-O-H Torsions,a0,a1,a2,a3,a4,H_f_0K,S(300K)
pfboh,C4HF9O,0.0,0.0,0.0,3.0,9.0,0.0,1.0,0.0,1.0,0.0,14,4,9.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2726,0.1764,-0.00017407,7.9713e-08,-1.3763e-11,0.0,113.59
hexane,C6F14,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,19,6,14.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98,0.23381,-0.00022478,1.0065e-07,-1.7075e-11,-713.26,136.849473
c4_secondary_rad,C4F9,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,12,4,9.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)F,3,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7357,0.153,-0.00015161,6.9212e-08,-1.1899e-11,-417.63,113.918165
23_ftca,C5H5F5O2,0.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,1.0,0.0,15,5,5.0,5.0,2.0,O=C(O)CCC(F)(F)C(F)(F)F,5,2.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8371,0.16677,-0.00013893,5.6652e-08,-9.0007e-12,0.0,110.95
2_octene,C8F16,1.0,0.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,22,8,16.0,0.0,0.0,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.264,0.29254,-0.00028888,1.3171e-07,-2.2637e-11,0.0,162.83
pfbcof,C4F8O,0.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,11,4,8.0,0.0,1.0,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,3,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7874,0.14927,-0.00014601,6.6193e-08,-1.1336e-11,0.0,109.98
c3_oco2h,C4HF7O3,0.0,1.0,1.0,2.0,7.0,0.0,3.0,0.0,1.0,0.0,13,4,7.0,1.0,3.0,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,5,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0588,0.17342,-0.00016703,7.5163e-08,-1.2812e-11,0.0,114.53
hfp_1oh_1rad_prod,C3HF6O,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,10,3,6.0,1.0,1.0,O[C](F)C(F)(F)C(F)(F)F,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
3_octyl,C8F17,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,24,8,17.0,0.0,0.0,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.681,0.30609,-0.00030385,1.3893e-07,-2.3918e-11,0.0,169.15
ester_oh,C5HF10O3,0.0,0.0,0.0,3.0,10.0,0.0,4.0,0.0,1.0,0.0,18,5,10.0,1.0,3.0,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,10.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.5262,0.23254,-0.00023163,1.066e-07,-1.8458e-11,0.0,136.34
pfba,C4HF7O2,0.0,1.0,1.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,12,4,7.0,1.0,2.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,4,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4894,0.15979,-0.0001549,7.0168e-08,-1.2031e-11,0.0,110.04
c5_rad,C5F11,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,15,5,11.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.509,0.1821,-0.00017635,7.8856e-08,-1.3317e-11,-507.44,124.440708
cf2_2h2o_prod,CH4F2O2,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,7,1,2.0,4.0,2.0,O.OC(F)F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.805,0.024927,-2.0714e-05,9.0626e-09,-1.556e-12,-238.46,81.788
43_ftca,C7H5F9O2,0.0,1.0,1.0,6.0,9.0,4.0,1.0,0.0,1.0,0.0,21,7,9.0,5.0,2.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,4.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
butane,C4F10,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,13,4,10.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0151,0.16889,-0.00016744,7.6472e-08,-1.3152e-11,-516.57,112.543919
frd_903_0HFAts_prod_COlossprod,C5F10O2,0.0,1.0,1.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,15,5,10.0,0.0,2.0,O=C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,10.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7623,0.20242,-0.00019772,8.9387e-08,-1.5263e-11,0.0,131.11
c7_secondary_rad,C7F15,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,21,7,15.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.118,0.26726,-0.0002651,1.2113e-07,-2.0842e-11,-710.8,157.13
1_hexane,C6HF11O2,0.0,1.0,1.0,5.0,11.0,0.0,1.0,0.0,1.0,0.0,18,6,11.0,1.0,2.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,3.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.971,0.23643,-0.00023117,1.0511e-07,-1.8056e-11,-627.8,137.71
pfhxal,C6F12O,0.0,1.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,17,6,12.0,0.0,1.0,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.294,0.22583,-0.00022218,1.0108e-07,-1.7349e-11,-625.09,137.47
pentene,C5F10,1.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,13,5,10.0,0.0,0.0,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,3,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.063,0.17448,-0.00017105,7.7657e-08,-1.3314e-11,0.0,119.44
2_hexene,C6F12,1.0,0.0,1.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,16,6,12.0,0.0,0.0,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,4,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.874,0.21558,-0.0002122,9.6548e-08,-1.6571e-11,0.0,135.25
c2f5cof,C3F6O,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,8,3,6.0,0.0,1.0,O=C(F)C(F)(F)C(F)(F)F,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9898,0.11121,-0.00010823,4.8915e-08,-8.3612e-12,-329.38,95.557
cf2coho,C2HF2O2,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,5,2,2.0,1.0,2.0,O=C(O)[C](F)F,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6578,0.060926,-5.5314e-05,2.4184e-08,-4.0613e-12,-269.0,78.453
cf2o_oh,CHF2O2,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,5,1,2.0,1.0,2.0,[O]C(O)(F)F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.885,0.063918,-6.3631e-05,2.9606e-08,-5.1842e-12,0.0,70.725
c4f9H_secondary,C4HF9,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,13,4,9.0,1.0,0.0,F[C@@H](C(F)(F)F)C(F)(F)C(F)(F)F,3,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6609,0.16006,-0.00015202,6.7509e-08,-1.1384e-11,-457.83,107.67
frd_c5f11o,C5F11O,0.0,0.0,0.0,3.0,11.0,0.0,2.0,0.0,0.0,0.0,16,5,11.0,0.0,1.0,F[C](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.656,0.20642,-0.00020377,9.2694e-08,-1.5887e-11,0.0,134.41
62ftoh,C8H5F13O,0.0,0.0,0.0,7.0,13.0,4.0,1.0,0.0,1.0,0.0,26,8,13.0,5.0,1.0,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,5.0,11.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.145,0.2893,-0.00026063,1.1217e-07,-1.8532e-11,0.0,156.24
cf2_h2o_ts_prod,CH2F2O,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,5,1,2.0,2.0,1.0,OC(F)F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7417,0.048881,-3.9527e-05,1.5808e-08,-2.4701e-12,-159.19,65.583
pfpnal,C5F10O,0.0,1.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,14,5,10.0,0.0,1.0,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.555,0.18749,-0.00018403,8.3596e-08,-1.4335e-11,-526.63,123.47
1_octane_c7_rad,C7F15,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,21,7,15.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.979,0.25448,-0.00024654,1.1027e-07,-1.8624e-11,-702.8,152.659706
4_octyl,C8F17,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,24,8,17.0,0.0,0.0,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789,0.30568,-0.00030331,1.3863e-07,-2.3859e-11,0.0,170.02
pentane1H,C5HF11,0.0,0.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,16,5,11.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.373,0.19517,-0.00018633,8.3031e-08,-1.4036e-11,-556.45,123.18
52ftoh,C7H5F11O,0.0,0.0,0.0,6.0,11.0,4.0,1.0,0.0,1.0,0.0,23,7,11.0,5.0,1.0,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,4.0,9.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.612,0.25027,-0.00022159,9.4216e-08,-1.5427e-11,0.0,143.17
32ftoh,C5H5F7O,0.0,0.0,0.0,4.0,7.0,4.0,1.0,0.0,1.0,0.0,17,5,7.0,5.0,1.0,OCCC(F)(F)C(F)(F)C(F)(F)F,5,2.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1538,0.17364,-0.00014538,5.9317e-08,-9.4119e-12,0.0,118.37
cfoh_cis,CHFO,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1,1.0,1.0,1.0,O[C]F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9553,0.027276,-2.2138e-05,8.7735e-09,-1.3483e-12,-159.77,59.289
c3f7o,C3F7O,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,10,3,7.0,0.0,1.0,[O]C(F)(F)C(F)(F)C(F)(F)F,2,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2226,0.13474,-0.00013661,6.3442e-08,-1.1049e-11,0.0,101.13
n_octane_twisted,C8F18,0.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,25,8,18.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.412,0.32398,-0.00032223,1.4755e-07,-2.5431e-11,-909.28,166.526512
frd_903_0HFAts_prod_minusHF,C6F10O3,0.0,1.0,1.0,4.0,10.0,0.0,4.0,0.0,0.0,0.0,18,6,10.0,0.0,3.0,O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.2867,0.23195,-0.00022741,1.0314e-07,-1.7657e-11,0.0,138.47
c4f7_o,C4F7O,0.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,10,4,7.0,0.0,1.0,O=C(F)[C](F)C(F)(F)C(F)(F)F,3,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9241,0.13439,-0.00013079,5.906e-08,-1.0085e-11,-300.33,106.98
c5_prim_sec_rad_isots,C5F11,1.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,13,5,11.0,0.0,0.0,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F.[F],3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
c7f15oh,C7HF15O,0.0,0.0,0.0,6.0,15.0,0.0,1.0,0.0,1.0,0.0,23,7,15.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,4.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.438,0.29164,-0.0002889,1.3236e-07,-2.2846e-11,-803.55,155.44
allyl,C3F5,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6,3,5.0,0.0,0.0,F[C](F)C(F)=C(F)F,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
c3f6oOH2nd,C3HF6O2,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0,11,3,6.0,1.0,2.0,[O]C(O)(F)C(F)(F)C(F)(F)F,3,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4555,0.14,-0.00013921,6.4226e-08,-1.1157e-11,0.0,101.19
pfoa,C8HF15O2,0.0,1.0,1.0,7.0,15.0,0.0,1.0,0.0,1.0,0.0,24,8,15.0,1.0,2.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,5.0,13.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.427,0.3131,-0.00030747,1.4007e-07,-2.4083e-11,0.0,165.67
pfhxoh,C6HF13O,0.0,0.0,0.0,5.0,13.0,0.0,1.0,0.0,1.0,0.0,20,6,13.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,3.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.626,0.25346,-0.00025086,1.1494e-07,-1.9843e-11,0.0,141.24
62rh,C8H5F13,0.0,0.0,0.0,7.0,13.0,5.0,0.0,0.0,0.0,0.0,25,8,13.0,5.0,0.0,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.821,0.279,-0.00025075,1.0789e-07,-1.7842e-11,0.0,149.64
c6_rad,C6F13,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,18,6,13.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.833,0.21805,-0.00021118,9.4427e-08,-1.5946e-11,-605.04,138.77868
