SMILES,Molecule,Veri. SMILES,Log Name,Log Path
FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)O)F,C7HF15O,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,c7f15oh,/qchem_data/log_to_pdb_in/c7f15oh.log
F[C](C(=C(F)F)F)F,C3F5,F[C](F)C(F)=C(F)F,allyl,/qchem_data/log_to_pdb_in/allyl.log
FC(C(F)(F)F)(C(F)(O)[O])F,C3HF6O2,[O]C(O)(F)C(F)(F)C(F)(F)F,c3f6oOH2nd,/qchem_data/log_to_pdb_in/c3f6oOH2nd.log
OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8HF15O2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfoa,/qchem_data/log_to_pdb_in/pfoa.log
FC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)O)F,C6HF13O,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhxoh,/qchem_data/log_to_pdb_in/pfhxoh.log
FC(C(C(F)(F)F)(F)F)(CCS(O)([O])[O])F,C5H5F7O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,32_fts,/qchem_data/log_to_pdb_in/32_fts.log
FC(C(F)(F)F)(CCS(=O)(=O)N)F,C4H6F5NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)F,22_ftsa,/qchem_data/log_to_pdb_in/22_ftsa.log
CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F13,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,62rh,/qchem_data/log_to_pdb_in/62rh.log
FC=O,CHFO,O=CF,cfho,/qchem_data/log_to_pdb_in/cfho.log
F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C6F13,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,c6_rad,/qchem_data/log_to_pdb_in/c6_rad.log
F[C](C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C8F17,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1_octane_c8_rad,/qchem_data/log_to_pdb_in/1_octane_c8_rad.log
CC,C2H6,CC,c2h6,/qchem_data/log_to_pdb_in/c2h6.log
[O]C(=O)F,CFO2,[O]C(=O)F,cfo2,/qchem_data/log_to_pdb_in/cfo2.log
F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,C6F13,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,3_pentyl,/qchem_data/log_to_pdb_in/3_pentyl.log
FC(C(F)(F)F)(C(F)(F)O)F,C3HF7O,OC(F)(F)C(F)(F)C(F)(F)F,c3f7oh,/qchem_data/log_to_pdb_in/c3f7oh.log
FC(=C)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H2F12,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,61_heptene,/qchem_data/log_to_pdb_in/61_heptene.log
[O]OC([C](C(F)(F)F)F)(F)F,C3F6O2,[O]OC(F)(F)[C](F)C(F)(F)F,c3f6o2_1st,/qchem_data/log_to_pdb_in/c3f6o2_1st.log
F/C(=C(\C(F)(F)F)/F)/C(F)(F)F.[F],C4F9,F/C(=C(/F)C(F)(F)F)C(F)(F)F.[F],c4_sec_sec_rad_isots,/qchem_data/log_to_pdb_in/c4_sec_sec_rad_isots.log
FC(C(C(C(F)(F)F)(F)F)(F)F)(S(O)([O])[O])F,C4HF9O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfbs,/qchem_data/log_to_pdb_in/pfbs.log
F[C]([C@@](C(F)(F)F)(F)O)F,C3HF6O,O[C@](F)([C](F)F)C(F)(F)F,hfp_2oh,/qchem_data/log_to_pdb_in/hfp_2oh.log
CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H5F11,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,52rh,/qchem_data/log_to_pdb_in/52rh.log
[CH2]F,CH2F,[CH2]F,ch2F,/qchem_data/log_to_pdb_in/ch2F.log
F[C](C([C](F)F)(F)F)F,C3F6,F[C](F)C(F)(F)[C](F)F,cpropane_intts_prod,/qchem_data/log_to_pdb_in/cpropane_intts_prod.log
FC(=C)C(F)(F)F,C3H2F4,C=C(F)C(F)(F)F,21_propene,/qchem_data/log_to_pdb_in/21_propene.log
OC(=O)C(C(F)(F)F)(F)F,C3HF5O2,O=C(O)C(F)(F)C(F)(F)F,pfpra,/qchem_data/log_to_pdb_in/pfpra.log
[OH],HO,[OH],oh,/qchem_data/log_to_pdb_in/oh.log
FC(C(C(F)(F)F)(F)F)F,C3HF7,FC(F)C(F)(F)C(F)(F)F,propane1H,/qchem_data/log_to_pdb_in/propane1H.log
FC(=C(F)F)F,C2F4,FC(F)=C(F)F,c2f4,/qchem_data/log_to_pdb_in/c2f4.log
CCC(C(C(F)(F)F)(F)F)(F)F,C5H5F7,CCC(F)(F)C(F)(F)C(F)(F)F,32rh,/qchem_data/log_to_pdb_in/32rh.log
FC(S(=O)(=O)N)(F)F,CH2F3NO2S,NS(=O)(=O)C(F)(F)F,triflate_amide,/qchem_data/log_to_pdb_in/triflate_amide.log
F,HF,F,hf,/qchem_data/log_to_pdb_in/hf.log
F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,C7F15,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,4_heptyl,/qchem_data/log_to_pdb_in/4_heptyl.log
FC(=C)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H2F14,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,71_octene,/qchem_data/log_to_pdb_in/71_octene.log
C=CC(C(C(F)(F)F)(F)F)(F)F,C5H3F7,C=CC(F)(F)C(F)(F)C(F)(F)F,32_pentene,/qchem_data/log_to_pdb_in/32_pentene.log
[O]S(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],C6HF13O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhxs,/qchem_data/log_to_pdb_in/pfhxs.log
FC(OC(=O)C(F)(F)F)F,C3HF5O2,O=C(OC(F)F)C(F)(F)F,cf2_tfa_prod,/qchem_data/log_to_pdb_in/cf2_tfa_prod.log
FC(=C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)F,C8F16,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,octene,/qchem_data/log_to_pdb_in/octene.log
O=C=O,CO2,O=C=O,co2,/qchem_data/log_to_pdb_in/co2.log
F[C@H](C(F)(F)F)OC(C(C(F)(F)F)(F)F)(F)F,C5HF11O,F[C@@H](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,e1,/qchem_data/log_to_pdb_in/e1.log
OC(=O)CCC(C(C(F)(F)F)(F)F)(F)F,C6H5F7O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,33_ftca,/qchem_data/log_to_pdb_in/33_ftca.log
F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F,C5F10,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F,2_pentene,/qchem_data/log_to_pdb_in/2_pentene.log
FC(C(F)([O])O)(F)F,C2HF4O2,[O]C(O)(F)C(F)(F)F,tfcof_oh,/qchem_data/log_to_pdb_in/tfcof_oh.log
O[C](C(F)(F)F)F,C2HF4O,O[C](F)C(F)(F)F,cf3cfoh,/qchem_data/log_to_pdb_in/cf3cfoh.log
C=CC(C(F)(F)F)(F)F,C4H3F5,C=CC(F)(F)C(F)(F)F,22_butene,/qchem_data/log_to_pdb_in/22_butene.log
FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C6HF13,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_hexane,/qchem_data/log_to_pdb_in/1H_hexane.log
FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C6H2F13NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fhxsa,/qchem_data/log_to_pdb_in/fhxsa.log
CCC(C(F)(F)F)(F)F,C4H5F5,CCC(F)(F)C(F)(F)F,22rh,/qchem_data/log_to_pdb_in/22rh.log
C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H3F13,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,62_octene,/qchem_data/log_to_pdb_in/62_octene.log
FC(=C([C](C(F)(F)F)F)F)F,C4F7,F[C](C(F)=C(F)F)C(F)(F)F,butylallyl,/qchem_data/log_to_pdb_in/butylallyl.log
FC(=O)[C](F)F,C2F3O,O=C(F)[C](F)F,c2f3_o,/qchem_data/log_to_pdb_in/c2f3_o.log
F[C](C(F)(F)O)F,C2HF4O,OC(F)(F)[C](F)F,c2f4_oh,/qchem_data/log_to_pdb_in/c2f4_oh.log
FC(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,C7F16,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,heptane,/qchem_data/log_to_pdb_in/heptane.log
F/C(=C(\C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)/F)/C(F)(F)F,C7F14,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,2_heptene,/qchem_data/log_to_pdb_in/2_heptene.log
F[C]F.O.O,CH4F2O2,F[C]F.O.O,cf2_2h2o,/qchem_data/log_to_pdb_in/cf2_2h2o.log
OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H5F9O,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42ftoh,/qchem_data/log_to_pdb_in/42ftoh.log
FC(=C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F)F,C6F12,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,hexene,/qchem_data/log_to_pdb_in/hexene.log
FC(=C(F)F)F.F[C]F,C3F6,FC(F)=C(F)F.F[C]F,cpropane_picomplex,/qchem_data/log_to_pdb_in/cpropane_picomplex.log
FC(F)F,CHF3,FC(F)F,1H_methane,/qchem_data/log_to_pdb_in/1H_methane.log
OC(=O)C(F)(F)F,C2HF3O2,O=C(O)C(F)(F)F,tfa,/qchem_data/log_to_pdb_in/tfa.log
OC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8HF17O,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfooh,/qchem_data/log_to_pdb_in/pfooh.log
FC(S(=O)(=O)N)(C(F)(F)F)F,C2H2F5NO2S,NS(=O)(=O)C(F)(F)C(F)(F)F,fetsa,/qchem_data/log_to_pdb_in/fetsa.log
FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F,C5H2F11NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fpnsa,/qchem_data/log_to_pdb_in/fpnsa.log
[O]O[C](F)F,CF2O2,[O]O[C](F)F,cf2o2_rad,/qchem_data/log_to_pdb_in/cf2o2_rad.log
CCC,C3H8,CCC,propane,/qchem_data/log_to_pdb_in/propane.log
F[CH]C(C(F)(F)F)(F)F,C3HF6,F[CH]C(F)(F)C(F)(F)F,cf3cf2chf,/qchem_data/log_to_pdb_in/cf3cf2chf.log
F[C]([C@](C(F)(F)F)(F)O)F,C3HF6O,O[C@@](F)([C](F)F)C(F)(F)F,hfp_2oh_1rad_prod,/qchem_data/log_to_pdb_in/hfp_2oh_1rad_prod.log
FC1(F)C(C1(F)F)(F)F,C3F6,FC1(F)C(F)(F)C1(F)F,cpropane,/qchem_data/log_to_pdb_in/cpropane.log
FC(C(F)(F)F)(C(F)(F)F)F,C3F8,FC(F)(F)C(F)(F)C(F)(F)F,c3f8,/qchem_data/log_to_pdb_in/c3f8.log
F[C@@H](C(C(F)(F)F)(F)F)C(F)(F)F,C4HF9,F[C@H](C(F)(F)F)C(F)(F)C(F)(F)F,2Hbutane,/qchem_data/log_to_pdb_in/2Hbutane.log
FC(=O)F,CF2O,O=C(F)F,cf2o,/qchem_data/log_to_pdb_in/cf2o.log
O/C(=C(\C(F)(F)F)/F)/F.[F],C3HF6O,O/C(F)=C(/F)C(F)(F)F.[F],hfp_1oh_ts,/qchem_data/log_to_pdb_in/hfp_1oh_ts.log
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,C7F15,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3_heptyl,/qchem_data/log_to_pdb_in/3_heptyl.log
FC(=C)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H2F10,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,51_hexene,/qchem_data/log_to_pdb_in/51_hexene.log
OC(=O)CNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H4F9NO4S,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nmefosaa,/qchem_data/log_to_pdb_in/nmefosaa.log
F[C]F,CF2,F[C]F,cf2,/qchem_data/log_to_pdb_in/cf2.log
F[C](F)F,CF3,F[C](F)F,cf3,/qchem_data/log_to_pdb_in/cf3.log
FC([C](F)F)F,C2HF4,F[C](F)C(F)F,cf2hcf2,/qchem_data/log_to_pdb_in/cf2hcf2.log
[O]S(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)([O])O,C8H5F13O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,62_fts,/qchem_data/log_to_pdb_in/62_fts.log
NS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H6F13NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,62_ftsa,/qchem_data/log_to_pdb_in/62_ftsa.log
FC(C(F)(F)F)(F)F,C2F6,FC(F)(F)C(F)(F)F,c2f6,/qchem_data/log_to_pdb_in/c2f6.log
FC(=O)[C](C(F)(F)F)F,C3F5O,O=C(F)[C](F)C(F)(F)F,c3f5co,/qchem_data/log_to_pdb_in/c3f5co.log
F[C](C(C([C](F)F)(F)F)(F)F)F,C4F8,F[C](F)C(F)(F)C(F)(F)[C](F)F,cbutane_diradical,/qchem_data/log_to_pdb_in/cbutane_diradical.log
[O],O,[O],o,/qchem_data/log_to_pdb_in/o.log
